Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,Time,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16
4641,1487,104.04306319999999,30.65952867,1508,104.0421319,30.66058405,147.115181,23.459687392000006,37.06726,0.0,0.0,0.0,53.042316,0.0,9.810269,47.722347,0.0,18.005302,72.71903,0.0,87.93882,57.4116,67.3557,0.0
4642,1488,104.08793270000001,30.65204871,1051,104.08872530000001,30.65173133,83.70083354,13.840419933999996,28.750078,0.0,0.0,0.0,24.300245,0.0,12.420303,38.321133,0.0,15.591009,22.32985,0.0,38.34065,38.77106,20.460604,0.0
4643,1488,104.08793270000001,30.65204871,1124,104.0864662,30.65274298,160.2042889,20.840605297199996,43.897144,0.0,0.0,0.0,39.35224,0.0,23.141008,53.67716,0.0,28.764585,26.183895,0.0,61.719234,56.242,35.840748,0.0
4644,1488,104.08793270000001,30.65204871,1368,104.08930699999999,30.65441059,293.0218828,37.4004720166,97.036125,0.0,0.0,0.0,59.438717,0.0,22.280354,105.76742,0.0,45.375175,59.32748,0.0,54.171974,122.76265,98.3666,0.0
4645,1489,104.0577429,30.68833203,1047,104.05857590000001,30.68835846,79.84547441,8.59444106888,16.69401,0.0,0.0,0.0,21.756386,0.0,9.6267185,21.540277,0.0,13.386763,12.881116,0.0,24.516933,22.61741,14.0954,0.0
4646,1489,104.0577429,30.68833203,1068,104.0566467,30.68829729,105.0625162,9.65512279302,20.617584,0.0,0.0,0.0,17.37632,0.0,5.7815943,28.827116,0.0,11.753109,14.140194,0.0,25.787321,25.52239,10.073999,0.0
4647,1489,104.0577429,30.68833203,1313,104.05669509999998,30.69008656,218.82539100000002,34.7034980676,63.44728,0.0,0.0,0.0,95.39928,0.0,49.68549,78.69782,0.0,67.51528,35.694996,0.0,109.654785,90.2227,49.55546,0.0
4648,1490,104.0247463,30.6718376,185,104.02733190000001,30.67140608,252.2814082,27.576017197600002,58.04009,0.0,0.0,0.0,66.09208,0.0,16.003237,71.596794,0.0,31.889154,32.355667,0.0,94.46183,60.77765,58.915005,0.0
4649,1490,104.0247463,30.6718376,1747,104.0255582,30.67516952,377.3852395,68.73251840580001,153.16829,0.0,0.0,0.0,28.0685,0.0,71.09757,170.46405,0.0,68.50355,72.48498,0.0,243.24324,202.54356,126.40222,0.0
4650,1490,104.0247463,30.6718376,1773,104.02270209999999,30.67217959,199.471172,17.158860867799998,34.82885,0.0,0.0,0.0,69.820206,0.0,10.017798,33.105724,0.0,25.375711,24.601048,0.0,56.48243,34.68949,33.91008,0.0
4651,1491,104.0917234,30.66939289,1692,104.091162,30.66894156,73.45162392,13.3029739079,17.955553,0.0,0.0,0.0,47.34206,0.0,17.282356,44.580116,0.0,17.401926,5.377626,0.0,43.04669,32.125824,29.73322,0.0
4652,1492,104.03962729999999,30.6876936,352,104.0402926,30.68684125,113.9476218,15.371069615800002,24.505045,0.0,0.0,0.0,10.100847,0.0,9.483906,42.358524,0.0,13.610494,24.504004,0.0,62.378395,41.734108,36.35692,0.0
4653,1492,104.03962729999999,30.6876936,1247,104.0433067,30.69163822,561.5491197000001,90.2534395958,175.36674,0.0,0.0,0.0,276.51675,0.0,99.01698,300.00055,0.0,117.47675,152.63269,0.0,212.6203,198.01707,176.50247,0.0
4654,1492,104.03962729999999,30.6876936,1516,104.0385937,30.68899368,174.8263326,18.192249871599998,38.60963,0.0,0.0,0.0,53.68718,0.0,9.326433,50.544453,0.0,13.043492,23.29982,0.0,65.26961,33.55729,37.79913,0.0
4655,1492,104.03962729999999,30.6876936,1576,104.03767049999999,30.68553984,303.5026595,39.997103589199995,101.9307,0.0,0.0,0.0,69.105484,0.0,10.792919,130.80054,0.0,46.985706,34.47285,0.0,147.22386,49.608746,73.59927,0.0
4656,1493,104.00723640000001,30.67483213,973,104.0064463,30.67175686,349.14335539999996,35.03139147940001,79.57511,0.0,0.0,0.0,60.737713,0.0,20.290321,94.35876,0.0,39.769707,52.325043,0.0,100.27635,89.28046,68.504875,0.0
4657,1493,104.00723640000001,30.67483213,1439,104.01478990000001,30.67361433,736.0948352,92.91595008780003,254.5449,0.0,3.8034425,0.0,6.636328,0.0,24.595522,291.64694,0.0,0.0,98.99649,0.0,319.65588,245.0165,151.41093,0.0
4658,1493,104.00723640000001,30.67483213,1547,104.00488059999999,30.67522349,229.8198915,21.79055916,45.676064,0.0,0.0,0.0,44.08414,0.0,11.552633,54.317673,0.0,15.08717,43.83074,0.0,66.53983,57.809177,50.842163,0.0
4659,1493,104.00723640000001,30.67483213,1550,104.00777149999999,30.67693868,239.03254500000003,23.824157806,34.26769,0.0,0.0,0.0,49.993355,0.0,27.03362,77.6351,0.0,23.166727,40.800518,0.0,58.91731,78.52411,48.84569,0.0
4660,1494,104.09733890000001,30.65838887,705,104.0909494,30.66142069,698.3434451,83.99656225819999,167.65004,0.0,0.0,0.0,252.52629,0.0,23.664413,154.31766,0.0,121.11625,148.60547,0.0,275.2484,205.6033,193.68079,0.0
4661,1494,104.09733890000001,30.65838887,1560,104.0960134,30.65626308,267.6487565,38.20104873940001,69.9579,0.0,0.0,0.0,113.22895,0.0,125.2847,130.52979,0.0,100.89427,0.0,0.0,117.063705,79.79643,37.975204,0.0
4662,1494,104.09733890000001,30.65838887,1665,104.0982051,30.65973129,170.3639099,18.8929501054,41.886135,0.0,0.0,0.0,27.272102,0.0,2.257492,71.3798,0.0,10.503138,33.041443,0.0,49.67848,41.110832,48.61051,0.0
